userName,score,reviewCreatedVersion,at,replyContent,repliedAt,content_clean
Annisa Kusuma Dewi,5,11.15.1,2025-10-04 12:29:29,,,"heh, wattpad! awas aja kau, ya. udah aku kasih bintang 5, bisa2nya kau bikin akunku off dan waktu aku login lagi, ceritaku semuanya hilang! itu udah hampir 5 bab, loh😭 gitu amat sih. sekarang mau pulihin gimana caranya, kau nihhh😭"
Olivia Mohan,2,11.15.1,2025-10-04 11:29:46,,,"jujur yaa, udah lama ga pake apk ini tapi waktu mau pake apk ini dan mau upload image malah nge-bug gitu, ga ke upload samsek sampe berulang kali uninstall terus nyari tutorial di yt juga. ini apk famous banget aslii, jadii semoga bisa di upgrade biar main baik lagi yaa karena masih banyak juga yang suka pake apk ini buat baca sama berkreasi. thanks yaa"
SERENA RENA,5,,2025-10-04 10:46:55,,,bagus sangat bagus
Layla Alfi nurin,5,,2025-10-04 10:05:51,,,bagus banget dapet cerita yg dewasa modern dan lainnya
Rina Nur Rahmadani,1,11.15.1,2025-10-04 08:06:43,,,ini emang wattpadnya yang error atau karena udah populer trus jadi kikir?
Nadin Sahira Nasha,2,11.9.0,2025-10-04 07:49:10,,,"entah kenapa, tapi cerita di draft ku hilang semua 😭. itu bug gak sih? tolong di diperbaiki."
Risna Waty,5,11.15.1,2025-10-04 05:05:09,,,"tdk perlu basa basi intinya"" oren adalah dunia ke dua ku """
Vera Seltiyo,4,,2025-10-04 04:23:41,,,seru bangettt
Hera Lita,5,,2025-10-04 00:55:02,,,"iklannya kenapa harus 2× setiap mau buka bab selanjutnya, padahal dulunya iklannya cuma 1× setiap mau buka bab selanjutnya, semakin update semakin gk jelas, waktu masuk juga lama banget"
H_n Patria,3,11.12.1,2025-10-04 00:51:40,,,sejak diperbarui apk nya jadi sering nge bug... harus ditutup dulu apknya dan mengulang dari awal lagi...
Aulia Sheli,2,11.15.1,2025-10-04 00:29:42,,,"min tolong dong di perbaiki setiap scroll di perpustakaan selalu balik ke awal trs, sama setiap pencet novel yg update bukan nya ke buka malah ke beranda awal trs harap di perbaiki bug nya"
Kombur Yeyedg,1,11.15.1,2025-10-03 16:25:21,,,kenapa saya tidak bisa login?? saya sudah mencoba beberapa kali tetapi tetap saja tidak bisa
Athaya,2,11.15.1,2025-10-03 16:10:19,,,"ini kenapa sering ke log out sendiri ya? ngebug parah ini aplikasi padahal bagus buat baca2. tolong dong di perbaiki. tiba2 suka ke log out sendiri, sy pdhl udah ganti email dan hp tetep aja ngebug kyk eror lah ke log out sendiri. tolong pihak wattpad diperbaiki."
Yusma Fianty,3,,2025-10-03 14:38:26,,,"gatau kenapa akun aku tiba tiba ilang, terus ga bisa masuk lagi, udah bikin akun baru malah tambah eror padahal mau baca cerita selanjutnya ehh malah ga bisa masuk. tolong di perbaikin lagi dongg soalnya saya mau baca tapi gabisa masuk."
