content_filtered,3-gram
"['woii', 'erorr', 'login', 'jaring', 'baik', 'baik', 'bug', 'mauu', 'baca', 'susah', 'weh']","[('woii', 'erorr', 'login'), ('erorr', 'login', 'jaring'), ('login', 'jaring', 'baik'), ('jaring', 'baik', 'baik'), ('baik', 'baik', 'bug'), ('baik', 'bug', 'mauu'), ('bug', 'mauu', 'baca'), ('mauu', 'baca', 'susah'), ('baca', 'susah', 'weh')]"
"['ragu', 'best', 'poko']","[('ragu', 'best', 'poko')]"
['waw'],[]
"['update', 'burik']",[]
"['iklan', 'muluu']",[]
"['iklan', 'nonton', 'iklan', 'awal', 'jeng', 'kel', 'baca', 'wifi', 'nontonin', 'iklan', 'bab', 'iklan', 'pret', 'ogah', 'baca', 'anj']","[('iklan', 'nonton', 'iklan'), ('nonton', 'iklan', 'awal'), ('iklan', 'awal', 'jeng'), ('awal', 'jeng', 'kel'), ('jeng', 'kel', 'baca'), ('kel', 'baca', 'wifi'), ('baca', 'wifi', 'nontonin'), ('wifi', 'nontonin', 'iklan'), ('nontonin', 'iklan', 'bab'), ('iklan', 'bab', 'iklan'), ('bab', 'iklan', 'pret'), ('iklan', 'pret', 'ogah'), ('pret', 'ogah', 'baca'), ('ogah', 'baca', 'anj')]"
['suka'],[]
"['login', 'web', 'server', 'down']","[('login', 'web', 'server'), ('web', 'server', 'down')]"
['error'],[]
['hibur'],[]
"['suka', 'cerita', 'lag', 'lama', 'lag', 'pdhal', 'wifi', 'ktnya', 'internet']","[('suka', 'cerita', 'lag'), ('cerita', 'lag', 'lama'), ('lag', 'lama', 'lag'), ('lama', 'lag', 'pdhal'), ('lag', 'pdhal', 'wifi'), ('pdhal', 'wifi', 'ktnya'), ('wifi', 'ktnya', 'internet')]"
"['heh', 'awas', 'bintang', 'akun', 'off', 'waktu', 'login', 'cerita', 'hilang', 'hampir', 'bab', 'amat', 'pulihin']","[('heh', 'awas', 'bintang'), ('awas', 'bintang', 'akun'), ('bintang', 'akun', 'off'), ('akun', 'off', 'waktu'), ('off', 'waktu', 'login'), ('waktu', 'login', 'cerita'), ('login', 'cerita', 'hilang'), ('cerita', 'hilang', 'hampir'), ('hilang', 'hampir', 'bab'), ('hampir', 'bab', 'amat'), ('bab', 'amat', 'pulihin')]"
"['lama', 'waktu', 'upload', 'image', 'bug', 'upload', 'samsek', 'uninstall', 'tutorial', 'yt', 'famous', 'asli', 'upgrade', 'main', 'baik', 'suka', 'baca', 'kreasi', 'thanks']","[('lama', 'waktu', 'upload'), ('waktu', 'upload', 'image'), ('upload', 'image', 'bug'), ('image', 'bug', 'upload'), ('bug', 'upload', 'samsek'), ('upload', 'samsek', 'uninstall'), ('samsek', 'uninstall', 'tutorial'), ('uninstall', 'tutorial', 'yt'), ('tutorial', 'yt', 'famous'), ('yt', 'famous', 'asli'), ('famous', 'asli', 'upgrade'), ('asli', 'upgrade', 'main'), ('upgrade', 'main', 'baik'), ('main', 'baik', 'suka'), ('baik', 'suka', 'baca'), ('suka', 'baca', 'kreasi'), ('baca', 'kreasi', 'thanks')]"
[],[]
"['dapet', 'cerita', 'dewasa', 'modern']","[('dapet', 'cerita', 'dewasa'), ('cerita', 'dewasa', 'modern')]"
"['error', 'populer', 'kikir']","[('error', 'populer', 'kikir')]"
"['gabisa', 'cerita', 'draft', 'hilang', 'bug', 'baik']","[('gabisa', 'cerita', 'draft'), ('cerita', 'draft', 'hilang'), ('draft', 'hilang', 'bug'), ('hilang', 'bug', 'baik')]"
