userName,content,score,reviewCreatedVersion,at,replyContent,repliedAt
Nuril Chairun Nihwa,"Kirain update terus itu bug nya berkurang, tapi malah makin parah. Setiap mau baca up cerita terbaru selalu keluar apk dan itu berulang kali. Tolong ya untuk kedepannya perbaiki apk nya lebih baik lagi",3,11.15.1,2025-10-02 08:31:03,,
Karina Karin,aku suka apk ini,5,11.13.0,2025-10-02 08:28:40,,
Mira Ana,"Apk nya Wp cukup bagus tpi gtw ya knp akhir"" ini suka ngelag kadang keluar akun sendiri. tolong cpt diperbaiki ya!!!",1,,2025-10-02 05:54:48,,
Kheila Kheila,suka banget,5,11.15.1,2025-10-02 05:54:14,,
Anita Putri,"Halo tim wattpad, di sini saya ingin protes sedikit letak kesalahan Wattpad. Hanya satu, yaitu saat saya membuat sebuah cerita dan cerita itu telah disimpan, tapi saat saya kembali membuka apk wattpad ini cerita saya hilang. Bisakah tim wattpad memperbaiki sebuah bug ini? Mohon dukungannya untuk mendukung karya penulis.",3,11.15.1,2025-10-02 05:31:24,,
Liona,"bagus, tapi cerita offline di gue cuman bisa 2 bjir? kok gitu? perasaan kemarin kemarin masih bisa 25 dah, parah lu",4,,2025-10-02 04:22:27,,
Cance Anggita putri,"Wattpad lagi kenapa ya? Nge-bug , draf tiba-tiba ilang (untung kalo pake web bisa ada) udah nyoba hapus terus download lagi malah nggak bisa dibuka samsek, langsung keluar nggak ada 2 detik",3,11.15.1,2025-10-02 03:37:22,,
Kesya Ahaya,bagus,5,11.15.1,2025-10-02 00:04:53,,
Helena Kolamban,daftar online dibatasi jadi 2. dari sebelumnya 25. setidaknya kasih 5 lah daftar online. aku kasih bintang lima biar kesorot,5,,2025-10-01 21:28:57,,
intan Nuraeni,"diperbaiki bugnya, salin paragraf ngelag mulu. males",1,,2025-10-01 20:33:16,,
stut jack OFFICIAL,gbs d download,1,9.90.0,2025-10-01 20:17:48,,
Soft clouds,"gak tau, bacaan nya mulai boring banget dan semua buku yang ku simpan hilang semua 😔. ada rekomendasi aplikasi novel lain gak yang genre novel nya lengkap? 🗿",1,11.15.1,2025-10-01 16:09:16,,
